district,avg_percent_aged_25_without_high_school_diploma
7,26.3536499327733
15,24.399999618530273
11,27.499389914782252
3,15.995873931826697
8,30.971432158357697
22,12.69794747106009
16,14.347093460769232
5,18.688807424887756
31,12.431249737739563
18,2.5679198248098785
17,25.27293850160044
6,16.68063874798383
19,6.201319103721967
25,31.9578135431181
24,18.365805405696403
9,38.86113512696446
1,4.9346758432308935
20,12.071596674061986
10,36.781186353562084
4,19.865259560773957
12,17.348329405059943
14,17.396254095103316
2,16.512857783956076
