district,avg_per_capita_income_
7,12125.866122936144
15,15957
11,13075.120401155502
3,18330.481639738282
8,16786.45761297246
22,22972.261108760053
16,26977.186890114554
5,16849.791661496463
31,25075.0625
18,87612.0439437321
17,23971.918990314058
6,17174.644961624166
19,52003.62444228904
25,16424.45169560657
24,24402.8109595597
9,14197.752567567568
1,60412.22089797596
20,34294.04013961605
10,11873.427033262835
4,18984.08278301887
12,36080.99781696054
14,32898.459313215404
2,23477.170527083712
